cargo,nome empresa,local,link
DESENVOLVEDOR CHATBOT/IA | PROGRAMAÇÃO PYTHON |  ZONA SUL - SP,BASE E RH,São Paulo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-chatbot-ia-programacao-python-zona-sul-sp/31314416/
1520 - Estagiário(a) em Desenvolvimento de Software,VEHLOR,Maringa - PR (1),https://www.catho.com.br/vagas/1520-estagiarioa-em-desenvolvimento-de-software/31465262/
Analista de TI,MAQUIGERAL ,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-ti/31465947/
Analista de Processos,Empresa Confidencial,Montenegro - RS (1),https://www.catho.com.br/vagas/analista-de-processos/31455573/
Analista de Soluções Digitais Pleno- VAGA AFIRMATIVA PARA PROFISSIONAIS COM DEFICIÊNCIA,RUMO,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-solucoes-digitais-pleno-vaga-afirmativa-para-profissionais-com-deficiencia/31455817/
Analista Sênior de BI  ,.,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-senior-de-bi/31465768/
Analista de People Analytics Junior,TECBAN,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-people-analytics-junior/31464933/
Estágio em Inteligência Artificial,PÉS SEM DOR,São Paulo - SP (1),https://www.catho.com.br/vagas/estagio-em-inteligencia-artificial/31464951/
Estágio em análise de preço e mercado de energia,Esfera Energia,São Paulo - SP (1),https://www.catho.com.br/vagas/estagio-em-analise-de-preco-e-mercado-de-energia/31467545/
"Desenvolvedor Back-end Sênior - NodeJS, Stripe, Amazon AWS",GO OLIVIERI APLICATIVOS E SOFTWARES,São Bernardo do Campo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-back-end-senior-nodejs-stripe-amazon-aws/31143462/
Analista de Dados,EMPLOYER TRABALHO TEMPORARIO ,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/31464986/
Analista de Automação,Controle Infraestrutura Ltda,Fortaleza - CE (1),https://www.catho.com.br/vagas/analista-de-automacao/31461298/
DevOps Engineer,EMPREGGA,Curitiba - PR (1),https://www.catho.com.br/vagas/devops-engineer/31458748/
Coordenador de Inteligência de Dados,Empresa Confidencial,Curitiba - PR (1),https://www.catho.com.br/vagas/coordenador-de-inteligencia-de-dados/31452944/
